Year,Month,DayofMonth,DayOfWeek,UniqueCarrier,TailNum,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,TaxiOut,TaxiIn,CRSArrTime,ArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Weekday,ArrDelay_positive,ArrDelay_log,DecimalDepTime,speed
2019,10,12,6,WN,N937WN,2733,BOS,STL,1305,1303.0,-2.0,8.0,3.0,1515,1457.0,-18.0,0.0,,0.0,190.0,174.0,163.0,1047.0,,,,,,Saturday,0.0,0.0,13.083333333333334,385.39877300613495
2019,8,5,1,MQ,N606AE,3926,ORD,RST,825,820.0,-5.0,35.0,4.0,944,946.0,2.0,0.0,,0.0,79.0,86.0,47.0,268.0,,,,,,Monday,2.0,1.0986122886681098,8.416666666666666,342.12765957446805
2019,8,1,4,WN,N202WN,797,DEN,CLE,1250,1252.0,2.0,9.0,4.0,1740,1729.0,-11.0,0.0,,0.0,170.0,157.0,144.0,1201.0,,,,,,Thursday,0.0,0.0,12.833333333333334,500.41666666666674
2019,3,13,3,AA,,2438,DFW,DEN,700,,,,,805,,,1.0,A,0.0,125.0,,,641.0,,,,,,Wednesday,0.0,0.0,7.0,
2019,12,15,7,MQ,N229NN,3683,ORD,BUF,1901,1900.0,-1.0,31.0,3.0,2143,2134.0,-9.0,0.0,,0.0,102.0,94.0,60.0,473.0,,,,,,Sunday,0.0,0.0,19.016666666666666,473.0
2019,4,22,1,OH,N584NN,5679,CLT,MYR,2207,2217.0,10.0,12.0,4.0,2300,2303.0,3.0,0.0,,0.0,53.0,46.0,30.0,157.0,,,,,,Monday,3.0,1.3862943611198906,22.116666666666667,314.0
2019,10,23,3,G4,246NV,1826,IND,PIE,830,815.0,-15.0,12.0,4.0,1043,1025.0,-18.0,0.0,,0.0,133.0,130.0,114.0,840.0,,,,,,Wednesday,0.0,0.0,8.5,442.10526315789474
2019,10,23,3,9E,N913XJ,3373,TYS,LGA,1902,1851.0,-11.0,17.0,8.0,2114,2040.0,-34.0,0.0,,0.0,132.0,109.0,84.0,648.0,,,,,,Wednesday,0.0,0.0,19.033333333333335,462.8571428571429
2019,7,31,3,YV,N914FJ,5880,DFW,HOU,1236,1232.0,-4.0,25.0,5.0,1348,1345.0,-3.0,0.0,,0.0,72.0,73.0,43.0,247.0,,,,,,Wednesday,0.0,0.0,12.6,344.6511627906977
2019,3,4,1,DL,N985AT,2614,BUF,DTW,1537,1542.0,5.0,15.0,5.0,1652,1648.0,-4.0,0.0,,0.0,75.0,66.0,46.0,241.0,,,,,,Monday,0.0,0.0,15.616666666666667,314.3478260869565
2019,3,17,7,WN,N272WN,791,LIT,STL,1730,1937.0,127.0,11.0,4.0,1840,2037.0,117.0,0.0,,0.0,70.0,60.0,45.0,296.0,109.0,0.0,0.0,0.0,8.0,Sunday,117.0,4.770684624465665,17.5,394.66666666666663
2019,10,12,6,OO,N945SW,5090,DEN,CNY,1632,1630.0,-2.0,12.0,3.0,1747,1730.0,-17.0,0.0,,0.0,75.0,60.0,45.0,283.0,,,,,,Saturday,0.0,0.0,16.533333333333335,377.3333333333333
2019,5,31,5,9E,N131EV,3317,ROC,JFK,555,546.0,-9.0,10.0,6.0,720,656.0,-24.0,0.0,,0.0,85.0,70.0,54.0,264.0,,,,,,Friday,0.0,0.0,5.916666666666667,293.33333333333337
2019,8,30,5,UA,N808UA,250,IAD,BNA,1720,1726.0,6.0,14.0,24.0,1824,1825.0,1.0,0.0,,0.0,124.0,119.0,81.0,542.0,,,,,,Friday,1.0,0.6931471805599453,17.333333333333332,401.4814814814815
2019,12,29,7,DL,N536US,983,ATL,LAX,1655,1803.0,68.0,14.0,11.0,1856,1953.0,57.0,0.0,,0.0,301.0,290.0,265.0,1947.0,1.0,0.0,0.0,0.0,56.0,Sunday,57.0,4.060443010546419,16.916666666666668,440.8301886792453
